Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
56	851.9824	305.29352	1255.0004	303.8952	404.0298	120.70568	553.413	269.0489	274.625	136.5	111999	192.40562	61.73216	272.87988	-145.74776	192.40442	61.7373	271.1407	-131.8774	-195.50182	52.451546	14325.131273031235
57	725.4134	490.35242	1714.4575	298.47903	799.6383	514.92944	1920.7979	294.25058	257.42856	295.5	113999	192.94827	62.052425	271.78067	-89.088234	192.94864	62.055054	271.10297	-107.56886	-195.73244	53.106796	14620.88697052002
58	1356.65	126.403534	1498.6431	1180.6761	1505.2147	127.41485	1635.083	1290.2701	430.5	466.9	115999	194.19177	61.8255	273.29022	-81.89144	194.19041	61.832096	273.44733	-99.516014	-197.12056	50.963966	14923.537125825882
59	655.2666	725.21564	1967.3397	34.476322	330.9227	592.06775	1583.6499	33.37594	218.72728	113.8	117999	194.88092	62.203545	277.5345	-94.20487	194.88008	62.219124	279.71536	-138.47221	-197.61081	54.4889	15214.755306720734
60	1303.8945	639.73035	1976.8037	252.12788	1256.9606	493.48718	2196.1604	37.702938	421.25	386.8	119999	195.90036	62.254745	281.8148	-85.598236	195.90063	62.2545	282.36722	-94.47564	-198.68619	54.44304	15517.869668006897
61	1847.4167	519.00134	2498.08	1201.5358	1267.8562	98.51737	1551.2528	1196.4524	582.25	391.6	121999	196.7683	62.437073	284.10645	-70.52272	196.76738	62.445633	284.84933	-93.370155	-199.69507	56.605007	15822.682645559311
62	1280.2566	245.32318	1762.8113	1079.7078	1576.8274	126.67439	1894.1078	1409.8605	394.8	483.4	123999	197.78963	62.7958	285.81183	-99.83531	197.78958	62.795944	286.57162	-109.50826	-200.40628	55.727806	16132.021114587784
63	1135.363	217.99379	1524.957	922.23267	1084.5114	35.710007	1169.3494	1044.1696	351.4	324.3	125999	198.51485	63.529877	283.65814	-88.24116	198.51524	63.533794	286.28214	-80.09397	-201.16994	51.33829	16435.968023061752
64	1121.6298	126.72217	1333.7671	984.3209	1278.0527	423.3241	2269.347	977.15826	341.66666	390.9	127999	199.4159	63.7065	286.66302	-63.915314	199.41512	63.71386	287.47006	-117.25228	-202.15407	50.67054	16746.67856502533
65	1062.9681	92.29412	1243.1442	950.22107	1357.7239	193.88477	1661.1068	973.6278	327.83334	417.4	129999	200.48306	63.70269	289.08444	-130.93874	200.48318	63.70114	287.03775	-96.87899	-203.33186	53.12758	17060.533535718918
66	1227.8762	264.7574	1723.626	1012.96277	998.7474	21.954317	1036.8307	958.3824	376.0	306.5	131999	200.97363	64.37443	284.72546	-106.65391	200.97394	64.37749	290.63397	-73.87904	-203.62971	47.836933	17377.442086458206
67	1035.2493	491.0589	1759.3949	24.466322	1371.1342	240.19405	1834.5116	1143.4015	321.14285	415.4	133999	201.86835	64.43628	287.53812	-105.02816	201.86829	64.44437	287.5623	-148.42255	-204.7015	51.303226	17698.8845205307
68	1391.3809	195.42252	1703.2632	1161.8986	1429.5526	139.28168	1640.6876	1228.7484	438.4	430.2	135999	202.62636	64.94296	289.5085	-70.16883	202.6252	64.94475	289.08502	-77.92323	-205.44313	47.612392	18019.275983810425
69	1067.1316	164.85619	1324.8274	862.6274	1146.9508	120.38666	1344.8027	975.2409	329.2	349.0	137999	203.31445	65.6279	288.46713	-116.93943	203.31519	65.63448	291.4938	-119.82931	-206.07257	49.343224	18336.05930352211
70	1086.5243	180.8879	1445.0093	936.8062	1512.7517	275.20575	2066.206	1138.8784	337.0	466.8	139999	203.85504	66.08424	288.88562	-81.08798	203.85474	66.083786	292.33914	-111.438156	-206.40732	54.22862	18670.844160556793
71	1683.3662	688.3405	2800.5403	934.7283	2146.5044	431.38028	2911.682	1609.6472	521.75	667.1	141999	204.73848	66.211266	290.2541	-81.89818	204.73807	66.219696	291.30087	-80.33722	-207.09	49.47705	19012.78764653206
72	1306.1879	278.87067	1670.85	1071.2	964.4076	195.15558	1161.2942	431.0266	407.8	307.0	143999	205.72386	66.22775	287.97348	-99.57885	205.72386	66.23983	290.8022	-78.66131	-208.3194	45.52486	19347.1441321373
73	1475.6853	275.784	1930.6494	1196.4404	1913.2725	950.75586	3164.4148	309.65967	461.0	606.0	145999	206.90437	66.17754	288.6041	-94.74382	206.90436	66.18073	292.58453	-119.4342	-209.70323	52.01336	19694.932404518127
74	1051.1425	824.15607	2302.17	47.145348	1370.4675	343.68326	2105.5916	1059.8827	341.5	426.7	147999	207.65338	66.40933	289.09872	-78.59516	207.65108	66.417	289.6284	-81.8366	-210.17778	52.41728	20035.804178714752
