Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
55	199.29796	84.76203	423.57574	86.616005	40.387756	104.68173	49.258305	153.09706	-15.74114	112000	-0.029040981	2038.1357	-0.0074809752	-1059.1799	0.9183214	3.8146974e-09	614.2550835609436
56	213.32082	76.3328	386.2679	87.054054	42.847828	93.5252	49.675755	155.74037	-41.9121	114000	0.050895356	2144.8816	-0.006888695	-1246.6932	0.91826546	-3.6239623e-08	626.8861696720123
57	210.30078	64.12739	400.6321	92.18835	42.673912	100.62722	49.610165	158.63982	1.5863104	116000	-0.045858048	1711.819	-0.006384805	-998.3094	0.9182257	-2.6226044e-08	638.5348818302155
58	204.2794	78.58881	435.16415	108.16486	41.38298	104.42088	51.549755	160.95125	-51.10612	118000	-0.08022177	2200.5032	-0.007255286	-1119.035	0.91818595	-9.059906e-09	650.4785199165344
59	241.27193	77.18961	401.29593	97.395424	47.57143	98.22506	50.63608	163.15405	-9.603821	120000	-0.11266579	2280.0132	-0.0055353716	-1264.7954	0.9181378	-5.4836274e-08	662.285888671875
60	232.13667	75.45075	403.33905	81.67482	47.317074	115.27077	51.410957	168.2712	0.4083984	122000	0.022969471	2050.6636	-0.006730335	-1048.1904	0.9180821	-1.4781952e-08	674.9708287715912
61	228.36937	74.560455	402.01184	100.0779	46.238094	110.8346	51.21211	169.48703	-17.711369	124000	-0.014745662	1904.0696	-0.0054225735	-1084.4463	0.91803646	-2.4795533e-08	686.5025992393494
62	236.00711	74.42529	404.0033	91.966705	47.214287	107.66208	52.2386	171.96402	-21.921568	126000	0.021377575	1908.0204	-0.0063931653	-1057.301	0.91799587	-1.0490417e-08	698.3258481025696
63	245.54184	78.654785	396.72305	98.633194	49.0	112.39585	56.18234	174.47067	-9.4657135	128000	0.022472054	2083.8242	-0.007222874	-1115.5989	0.91796386	-1.1920929e-08	710.3627848625183
64	249.00304	83.08118	446.49368	97.57731	49.53846	116.78334	53.534424	176.77234	-8.181377	130000	-0.14760818	2098.5862	-0.0070182234	-1089.335	0.9179361	-2.8133393e-08	722.3348107337952
