Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
82	65.170746	2.2581706	67.19888	61.8322	64.81064	2.16205	66.363144	61.407665	13.653061	13.7	163999	34.01441	17.554844	72.34427	-5.127873	34.014355	17.555212	72.82446	-2.706284	-33.762215	1.1515418	37702.05396389961
83	64.89715	2.3447115	67.14994	61.770073	64.77287	2.1402335	66.419754	61.40232	13.5986395	13.7	165999	33.965584	17.564428	72.96635	-4.119911	33.965534	17.564049	76.70962	-0.16966438	-33.81596	1.167253	38360.32109165192
84	65.0709	2.3024225	67.14834	61.765724	64.78835	2.1710346	66.36292	61.3277	13.630137	13.7	167999	33.946144	17.505915	70.85945	0.028061748	33.94613	17.50599	72.22269	-0.43077874	-33.80803	1.13597	39018.77265954018
85	64.8242	2.3527205	67.057014	61.83187	64.79054	2.1814072	66.342636	61.385353	13.574325	13.7	169999	33.95037	17.532455	70.74924	-3.6665168	33.950283	17.532505	71.83957	-3.041768	-33.81975	1.1358342	39675.19532370567
86	64.8505	2.3534894	67.1151	61.797928	65.218765	1.9316217	66.293724	61.303043	13.585034	13.8	171999	33.990803	17.529684	71.42203	-2.0042257	33.990788	17.529812	74.14365	-4.247962	-33.79601	1.1494249	40337.4167611599
87	65.32439	2.2182095	67.05777	61.811462	64.30017	2.283163	66.33228	61.336334	13.684932	13.6	173999	33.985985	17.53361	69.888145	-6.2306914	33.985935	17.533518	70.02975	0.5297301	-33.79695	1.1367532	41000.85797071457
88	64.84594	2.3611884	67.19523	61.769222	63.787834	2.3653648	66.3527	61.27563	13.585034	13.5	175999	34.01724	17.580706	70.7328	-7.036031	34.01753	17.580229	74.8409	-1.5046284	-33.830433	1.1443985	41660.051429986954
89	64.80285	2.3546355	67.15713	61.721573	64.314766	2.3105614	66.366936	61.38444	13.574325	13.6	177999	33.965557	17.539097	71.09635	-4.18165	33.96537	17.539518	70.61849	-5.7088013	-33.731823	1.1316245	42324.712651729584
90	64.9127	2.35447	67.15293	61.80355	64.262825	2.342386	66.2551	61.28351	13.5986395	13.6	179999	33.89475	17.552076	73.707184	-1.5864334	33.894623	17.551947	70.92101	-1.042162	-33.71963	1.1227033	42984.80395412445
91	64.773636	2.395451	67.10194	61.746666	63.38143	2.336356	66.29628	61.314983	13.571428	13.4	181999	33.8653	17.537024	69.18049	-3.2387853	33.86515	17.537361	70.92073	-2.705604	-33.726543	1.1418886	43644.09915137291
