Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
47	408.1538	119.24677	572.6469	158.87418	155.5	148.16704	49.10469	181.0342	-1.5770891	96000	-2.9802323e-09	1481.0327	-0.0045293267	-640.2041	0.79919374	0.018722964	0.2145	4.0	378.933810710907
48	477.8052	110.50954	749.8739	364.0655	179.18182	149.04866	47.945164	183.12227	4.4783883	98000	1.8775463e-08	780.9024	-0.004597783	-395.55722	0.7984276	0.016108148	0.2375	3.0	386.3861527442932
49	430.31888	99.51084	634.34174	314.82504	169.63637	167.58546	42.112732	190.87752	5.466072	100000	-1.6238541e-08	1603.7563	-0.004596328	-1042.1597	0.797805	0.01676985	0.201	4.0	393.61433148384094
50	338.2105	174.5243	676.2889	124.24642	140.0	159.45712	45.103836	191.12384	7.038191	102000	-1.5795231e-09	5399.5137	-0.019564535	-2640.1396	0.79706573	0.015531869	0.17	21.0	401.5397081375122
51	379.3119	121.80036	571.5195	99.94479	150.38461	139.36612	40.669235	181.36893	-17.438335	104000	3.2801182e-09	2001.0283	-0.03219654	-616.0077	0.7972203	0.014820469	0.1925	79.0	409.99000549316406
52	472.335	123.93021	690.14307	342.7663	166.09091	140.19247	41.209854	177.5941	13.59354	106000	2.2932888e-08	2211.7466	-0.020888153	-1417.5565	0.79852545	0.015192775	0.1705	28.0	417.72041964530945
53	468.24796	82.91465	621.259	368.79376	168.90909	165.51366	47.0606	199.43668	5.343939	108000	-4.384667e-09	953.86584	-0.027740162	-248.36774	0.7882238	0.01112913	0.1525	79.0	426.32760548591614
54	442.05496	137.45044	623.7889	116.78206	159.0	170.70222	50.4932	204.24113	0.92141557	110000	1.1995435e-09	1906.7567	-0.006279944	-686.3436	0.78095937	0.015097902	0.153	3.0	433.85828018188477
55	428.43262	74.79512	574.1792	352.72983	152.6923	158.70482	54.62895	205.48251	-1.9169807	112000	1.4536083e-08	456.39343	-0.005349327	-153.08197	0.7807172	0.016728926	0.206	6.0	441.27409625053406
56	461.64502	77.56258	585.3939	324.1392	163.58333	160.87563	52.290676	206.02025	9.823446	114000	-2.0965933e-08	522.67804	-0.032449502	-149.54776	0.7803057	0.014078554	0.175	79.0	449.7000296115875
