Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
64	173.38927	256.75488	616.10614	1.850189	390.32675	300.92807	915.2604	-29.43056	294.5	827.8	127999	106.99382	24.80874	187.76805	-65.424995	-108.83728	8.314274	14366.58544421196
65	500.05545	278.05215	701.8957	106.87708	295.4154	301.10797	772.0984	4.651252	743.3333	478.8	129999	106.77916	24.727093	198.17693	-63.012695	-108.60428	7.6125045	14586.61424446106
66	261.10245	219.66527	587.9687	29.497551	259.48062	358.54993	786.59485	-299.18024	549.25	794.0	131999	106.79277	24.756935	229.36237	-57.087017	-108.634964	7.7073455	14830.17890572548
67	346.17688	308.6046	700.7399	26.747507	80.27142	495.02744	845.8467	-600.576	537.5	753.1	133999	106.85843	25.148445	223.42607	-73.0807	-108.683014	8.8100605	15074.052307605743
68	224.05963	385.48682	609.54645	-161.42717	53.637836	477.78784	807.7374	-1062.2706	1000.0	347.5	135999	107.53831	25.714119	256.73257	-72.84746	-109.43445	9.365299	15279.927127122879
69	57.533478	237.70732	470.56717	-271.6289	231.08601	260.38974	606.90375	-3.4532104	405.0	564.3	137999	108.9074	25.937355	274.8842	-104.37559	-110.90359	11.748129	15505.707757234573
70	113.30874	252.69354	366.0023	-139.38481	-35.639458	413.04172	675.9881	-881.05554	1000.0	531.8	139999	110.82508	26.2372	287.72577	-71.10707	-112.83213	11.582361	15726.959651231766
71	112.0716	122.182396	322.71683	23.881496	31.768631	107.88486	347.4169	-55.02399	376.25	161.3	141999	112.60209	27.136705	280.3022	-73.61263	-114.56862	11.415488	15918.854774236679
72	227.0647	269.41428	573.82166	-77.71683	150.37923	190.0391	634.4541	-4.2097654	575.25	510.2	143999	113.87259	27.845078	252.20966	-103.31781	-115.85935	11.466691	16138.589136600494
73	97.5902	185.9334	547.22284	-0.8442913	-326.96332	728.262	613.3787	-1670.3052	221.14285	734.3	145999	115.61839	29.095573	264.3834	-84.45219	-117.60526	11.654387	16380.468529462814
74	-31.587347	351.43597	413.96313	-668.9767	-174.13818	379.3956	44.391052	-1073.3662	565.6	353.1	147999	117.04188	29.663332	251.30035	-66.60808	-119.0218	12.21099	16587.244270801544
75	-40.406197	127.3685	125.423744	-184.22621	-192.56284	320.15723	8.120991	-993.39233	480.33334	349.6	149999	118.42496	30.11518	268.7075	-72.1801	-120.39933	11.723506	16796.847301721573
76	-1.5296539	38.656536	62.366413	-50.201645	21.681932	81.279106	264.7261	-17.044216	441.8	117.9	151999	119.66664	31.12728	249.0593	-68.88715	-121.71209	13.203069	16989.57434773445
77	60.560047	133.72636	391.35138	-11.046967	2.8170447	82.660484	229.9708	-107.106346	199.33333	243.9	153999	121.66447	32.406452	252.11195	-74.59169	-123.82448	13.949576	17191.36741375923
78	-7.8766937	24.359676	23.010063	-65.8526	53.72642	114.07638	350.8455	-59.747086	154.0	440.8	155999	124.24727	33.45092	252.59776	-106.88166	-126.42054	16.194256	17412.795804023743
79	190.29916	163.32658	432.40298	28.01267	14.74129	343.0988	840.78754	-686.2956	570.25	328.5	157999	126.31669	34.988064	292.3743	-71.381294	-128.4991	15.620078	17620.19960951805
80	84.82124	129.00984	305.7379	-11.835181	-16.321404	344.34387	496.48685	-535.12506	549.25	804.2	159999	128.68323	37.260784	300.83865	-91.3331	-130.94524	16.865013	17872.21072077751
