Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
62	348.31152	278.03055	684.0765	51.244793	1431.0056	326.21802	1655.6544	687.81384	360.75	1000.0	123999	46.336254	23.353283	90.645905	-19.674774	46.3348	23.355316	89.11914	-24.209833	-47.98804	7.2409925	14902.184909820557
63	531.0991	132.26335	709.9497	336.5363	947.54266	324.67288	1438.1888	554.45734	641.75	891.4	125999	46.59873	23.808681	92.162155	-24.512148	46.598503	23.81188	90.5959	-44.424362	-48.31736	7.3979306	15145.784903526306
64	809.2567	25.861664	835.1184	783.3951	1562.7903	310.13235	1846.9652	859.6527	1000.0	933.9	127999	46.97075	24.122396	92.481476	-35.053104	46.970203	24.123703	91.35988	-26.809479	-48.627975	7.3082247	15385.267307519913
65	1332.5322	304.98865	1637.5209	1027.5436	1157.9075	472.41623	1818.1969	591.127	1000.0	788.9	129999	47.535255	24.63042	94.10293	-29.562208	47.53397	24.633348	93.23164	-22.852943	-49.17099	7.2366176	15614.978861093521
66	1155.9432	361.49588	1517.4391	794.4473	1159.658	562.42883	1850.8433	198.40111	1000.0	810.1	131999	48.15057	25.221289	94.021126	-41.237774	48.150517	25.223122	99.507	-21.407967	-49.73536	7.3128753	15850.308683156967
67	1700.5762	34.409668	1734.9858	1666.1665	1089.576	519.8701	1735.5813	17.744654	1000.0	829.9	133999	48.785355	25.814686	97.74214	-15.897893	48.784515	25.814856	94.59372	-30.418734	-50.336117	7.284668	16084.397940158844
68	795.02466	483.1117	1374.515	191.84912	1287.8867	472.1486	1718.7451	261.27838	677.6667	830.9	135999	49.61366	26.384352	96.57602	-38.400795	49.61339	26.386501	95.90945	-31.257446	-51.299976	7.6414704	16317.122784137726
69	1303.4498	343.93472	1647.3845	959.5151	1428.0618	398.3148	1844.4666	716.1824	1000.0	1000.0	137999	50.045513	26.949364	96.56727	-22.239143	50.045265	26.95144	97.66064	-26.28603	-51.623566	7.6641827	16567.294687271118
70	1442.5806	51.478638	1494.0592	1391.1019	1185.4231	631.18555	1906.2137	141.6422	904.5	773.0	139999	50.760815	27.643148	97.853836	-24.036623	50.760384	27.64723	98.509415	-21.674677	-52.39015	7.778594	16798.819504737854
71	1099.1582	576.606	1597.8726	291.075	1714.0017	131.48436	1790.2034	1327.0509	727.0	1000.0	141999	51.33997	28.262054	100.54296	-48.46358	51.33858	28.26589	99.801315	-26.123747	-52.86339	7.9422255	17050.86944794655
