Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
43	154.02405	62.97706	470.38782	81.87961	31.125	74.49177	36.5377	117.63741	2.486927	88000	-0.09957189	1712.4076	-0.0057924613	-786.70984	0.91841036	-3.051758e-08	1840.9533097743988
44	154.89133	53.93954	350.02368	81.85919	31.349207	78.04461	39.337696	120.64499	6.6289067	90000	0.08122896	1032.845	-0.0077296197	-504.8698	0.9183627	2.8133393e-08	1882.6253962516785
45	158.5465	54.408062	376.89392	81.79843	31.983871	77.78742	38.964527	122.83089	1.1959972	92000	-0.069718875	1250.302	-0.0074181333	-651.6598	0.91832745	-1.9073487e-09	1925.3381958007812
46	152.84492	45.216095	258.14117	81.53908	31.15625	79.31007	40.807552	124.58696	-4.5459595	94000	-0.02105176	888.61176	-0.006925117	-529.1094	0.91828793	-3.576279e-08	1968.461532831192
47	165.68028	48.766563	314.01874	81.63759	33.86207	76.5265	38.350975	125.04705	-9.449915	96000	-0.029316546	959.71436	-0.006786557	-526.8667	0.9182519	-8.106232e-09	2012.2932019233704
48	161.61429	48.514603	307.9132	86.62634	32.8	80.95189	40.136	126.864944	-10.070862	98000	-0.05525112	951.7303	-0.005792547	-506.29132	0.91821516	-8.5830685e-09	2056.240604162216
49	155.76134	53.639374	330.37616	81.560425	31.571428	78.28388	40.896725	128.29875	-8.642344	100000	-0.048657957	1019.25543	-0.0073548965	-511.78073	0.91817355	4.768372e-10	2098.980721473694
50	172.17085	64.631645	311.84976	81.51341	34.964912	78.66845	38.318348	129.65018	-7.7268224	102000	-0.06898347	1450.027	-0.0067043453	-779.3351	0.9181331	2.4318695e-08	2141.522079229355
51	176.98698	56.836422	351.9555	81.52314	35.963634	88.248055	42.48202	133.2339	-14.864847	104000	-0.028156215	1194.8639	-0.007244846	-611.7337	0.91808826	-5.722046e-09	2185.373195171356
52	179.7174	60.420002	318.98474	87.291405	36.592594	85.46153	42.674114	135.78099	-7.3116775	106000	0.010361841	1264.2025	-0.007359585	-665.20575	0.91804314	5.6743623e-08	2228.8429594039917
53	190.84294	62.98779	320.05353	95.11292	38.235294	89.91551	42.03266	138.13821	-14.503739	108000	-0.22367366	1455.767	-0.007985875	-796.0766	0.9180057	-1.66893e-08	2273.2902524471283
54	197.287	62.72866	343.46747	82.53262	40.163265	91.15286	45.951336	141.81485	-5.904417	110000	-0.03312624	1299.0585	-0.008140333	-657.62665	0.91794825	0.0	2316.4764244556427
55	198.44414	72.19494	413.285	81.47879	40.42857	94.64842	45.22277	145.17892	-5.9593735	112000	-0.06574147	1690.95	-0.006954506	-820.9223	0.91789204	-1.2874604e-08	2358.2770862579346
56	184.92918	65.02794	336.29224	87.285576	37.433964	94.94633	48.27293	148.53802	-1.7703514	114000	-0.061288644	1346.2743	-0.0069379993	-738.483	0.9178328	1.9550324e-08	2400.6415355205536
57	200.58229	64.726715	343.55023	92.460846	40.75	93.34585	45.329807	149.78693	-11.395781	116000	0.0049136546	1364.8105	-0.0077672	-787.37396	0.9177777	-4.7683715e-09	2444.394796848297
58	193.32527	69.398	339.76767	96.51699	39.156864	93.24417	48.649208	152.73796	-2.2346723	118000	-0.07989566	1347.3175	-0.0068545043	-749.24243	0.91772485	-5.722046e-09	2488.128049850464
59	227.56143	81.20815	498.56946	98.7541	45.55814	99.147545	46.746006	155.05344	-6.5315204	120000	-0.20659725	2462.917	-0.006335959	-1228.9756	0.917672	4.196167e-08	2531.6371972560883
60	214.97829	71.784904	339.88113	87.2923	42.913044	104.460045	50.682053	160.57127	-14.068133	122000	-0.083972506	1684.8927	-0.0072067007	-908.4412	0.9176037	-3.3378602e-09	2574.6656262874603
61	228.213	79.558235	374.33664	93.08545	45.409092	104.76225	49.343666	162.51266	-13.181731	124000	-0.07887748	1887.6599	-0.006167777	-1014.0759	0.9175336	-3.8146974e-09	2618.381420850754
62	240.43297	85.04308	460.23032	88.26736	47.560974	107.465546	51.428738	167.3236	-21.596312	126000	-0.058450337	2647.128	-0.00614978	-1497.2572	0.91746163	6.6757204e-09	2662.3092498779297
63	229.76172	86.03207	483.5895	87.041695	46.261906	114.4931	53.9668	170.94939	-4.8437963	128000	-0.13064745	2384.7256	-0.0065965056	-1200.9814	0.9173963	-5.2452087e-09	2706.1885454654694
64	265.69745	75.055244	447.62817	119.746864	53.324326	113.25427	51.87391	173.99387	-27.197184	130000	-0.012848928	2062.4817	-0.008615785	-1119.1514	0.91731864	3.3378602e-09	2749.9558987617493
65	222.99034	88.85217	555.9227	82.05369	44.81818	118.95775	54.704067	179.09485	-21.141365	132000	-0.084793605	2529.541	-0.007848263	-1431.06	0.9172526	6.6757204e-09	2793.6607778072357
