Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
42	554.5311	144.46568	877.1575	404.01898	190.6	179.9285	51.948097	208.34712	-4.274945	86000	-2.2947788e-09	1630.6874	-0.0050897663	-155.65283	0.8670266	0.02173126	0.1735	3.0	330.0668783187866
43	600.42126	236.45177	991.3519	258.0459	216.77777	191.03082	45.02568	210.96419	5.567293	88000	2.3823232e-09	4596.5767	-0.0050712884	-1711.8184	0.8669293	0.01607921	0.2475	4.0	337.37498354911804
44	564.945	505.9745	1900.7131	151.30817	217.55556	188.76405	37.58588	211.49524	9.756662	90000	5.885959e-10	5664.49	-0.008455881	-1339.8647	0.86700255	0.018044595	0.2065	3.0	344.60386872291565
45	563.09283	304.7643	1101.013	183.73578	202.44444	175.60167	47.002777	210.86974	-4.0709553	92000	1.630932e-08	3968.3665	-0.02587395	-1391.0691	0.8672715	0.014106818	0.155	79.0	352.53557777404785
46	614.2562	211.47466	992.31714	269.85016	223.375	179.40228	53.73074	216.95471	-3.4482868	94000	-1.9595028e-08	3388.2854	-0.015288543	-777.97437	0.86621696	0.015464679	0.0995	14.0	359.9666419029236
47	590.0066	374.57166	1248.3186	102.68105	197.5	187.73877	49.764927	218.79224	6.7121015	96000	3.3378602e-09	3621.2378	-0.014818004	-1164.8079	0.8666344	0.01519452	0.165	15.0	367.41327571868896
48	656.7708	176.88496	970.2088	398.6922	211.66667	183.38733	56.864277	227.08179	5.992812	98000	1.7777085e-08	1504.6443	-0.02756201	-827.70953	0.8620216	0.008108352	0.159	79.0	375.69550824165344
49	773.69006	285.8934	1288.2135	323.99402	246.5	207.2297	55.16993	233.4349	12.736608	100000	3.385544e-08	2853.9478	-0.025950687	-886.93555	0.8419504	0.011118168	0.129	79.0	383.99852442741394
50	542.86206	152.82915	819.6689	401.71655	178.54546	194.43079	66.29703	241.10681	-0.6353817	102000	-1.07511875e-08	961.98584	-0.0271052	-430.95557	0.8379325	0.0057293093	0.154	79.0	392.1013879776001
51	684.4331	311.23416	1209.0472	188.08308	227.875	204.04114	58.220524	241.8434	16.416714	104000	9.6447765e-09	2155.0332	-0.006661282	-863.90247	0.8370598	0.017030312	0.2045	6.0	399.263720035553
