Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
33	537.18365	109.05301	830.0009	354.21832	611.46875	146.3962	1030.4326	496.37903	109.1579	115.6	65999	204.47685	106.89865	376.78485	-23.33362	204.4785	106.90015	381.94977	-19.497915	-4.502339	5.002582	31.913929	-20.200298	-206.77501	102.44082	16715.57105731964
34	556.6384	144.14755	996.398	383.58093	488.79752	26.133057	554.78143	458.658	108.29412	91.6	67999	204.43706	107.47212	398.25165	-19.814497	204.43459	107.47147	397.8354	-21.340784	-4.5768623	5.0038733	31.334797	-20.217844	-206.71275	101.13187	17220.001406908035
35	602.2526	137.34984	936.5706	435.13785	460.9672	43.31911	549.7625	396.4161	118.5	86.3	69999	205.80266	107.46115	391.36694	-27.964724	205.804	107.45978	386.6084	-17.59978	-4.6886673	4.9196706	29.416647	-21.812614	-208.02933	103.39376	17726.215303897858
36	543.5205	111.50301	862.5196	342.87457	548.05164	81.24957	742.7184	472.36957	106.27778	100.5	71999	207.54694	108.25271	393.13235	-31.888208	207.54704	108.25005	406.06635	-42.63407	-4.634171	5.0462785	30.02435	-21.352833	-209.78015	101.21963	18242.27656173706
37	671.5272	150.48598	930.49603	401.56564	595.94275	117.31691	847.30334	482.1247	132.25	114.0	73999	208.91917	108.81876	428.80875	-22.398323	208.92006	108.818756	434.4739	-31.467749	-4.585381	5.0832577	33.935345	-20.42383	-211.07523	103.713425	18769.521967172623
38	560.71063	127.96835	942.54834	359.72946	489.0812	60.630905	595.6269	379.27182	110.05556	90.8	75999	210.16878	109.58132	399.5682	-65.47696	210.16705	109.582924	414.79	-44.270283	-4.428606	4.9847555	27.76227	-24.56654	-212.3071	104.006905	19328.96244597435
39	526.16	104.96203	910.5336	376.6497	462.48648	38.99256	550.12994	385.74152	101.89474	84.4	77999	211.31915	110.18179	393.47702	-19.278652	211.31894	110.17413	400.45435	-25.105436	-4.4272037	5.0590143	29.648476	-20.287601	-213.51744	106.59732	19842.085120916367
40	615.31067	189.25266	1198.6729	377.17856	521.1787	46.204815	575.1905	420.84906	122.35294	98.0	79999	213.02933	110.89658	405.4903	-19.072216	213.0291	110.89368	393.18433	-20.723782	-4.4048886	5.149657	28.685356	-19.635136	-215.21338	106.19712	20342.314942121506
41	613.83716	148.1942	957.48083	437.04108	542.43396	43.507736	621.02356	485.73593	122.5	101.4	81999	213.98764	111.8892	396.76288	-20.96196	213.98817	111.88304	398.32123	-40.851215	-4.4355106	5.1796823	29.012848	-21.527168	-216.09018	110.76364	20858.413625240326
42	652.8422	219.53722	1313.0752	458.68594	588.5987	82.51558	783.5681	479.93903	128.66667	113.3	83999	215.55818	112.6075	431.8236	-52.226776	215.55852	112.60499	400.4012	-85.49672	-4.5989876	5.169026	37.45589	-21.07704	-217.65825	112.41205	21384.893944740295
43	563.9549	121.635574	795.75104	398.6883	558.4058	124.27997	813.36426	443.67245	110.8421	105.2	85999	216.40105	112.743965	444.64807	-21.1129	216.40298	112.73696	434.82608	-24.139921	-4.6440263	5.0588675	31.891956	-21.618275	-218.43166	111.61348	21916.05583548546
44	585.2886	80.50038	737.6478	477.06793	568.0987	45.623207	653.5378	506.35907	117.8125	104.0	87999	217.9286	113.26193	470.01926	-28.59549	217.92957	113.25752	469.69485	-15.016014	-4.6130266	5.062596	29.870605	-20.472044	-220.02666	112.87851	22450.726512670517
45	594.9624	97.09849	785.09845	438.98502	519.2693	28.175287	562.23517	477.3271	116.70588	94.6	89999	219.16142	114.04978	452.44904	-24.940014	219.16245	114.04932	472.53812	-46.0711	-4.669722	5.0241556	31.5612	-21.393635	-221.19807	114.10832	22986.811398029327
46	658.7866	208.06529	1254.4172	418.15298	615.0228	67.25303	739.79553	516.4772	131.125	113.8	91999	220.92387	114.74754	470.83136	-16.792141	220.92212	114.741066	507.52084	-31.162418	-4.556596	5.048973	33.965904	-23.509943	-222.9423	113.78286	23508.128170251846
