Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
50	437.8282	241.68344	1061.8607	206.57268	347.29526	152.07426	707.6026	252.9712	193.4	149.8	99999	640.30225	204.5654	882.7436	-678.1	-653.22174	652.0474	13027.319724321365
51	346.6008	204.98877	787.73944	147.12193	302.37415	20.10738	331.2483	273.71054	173.5	177.0	101999	637.3178	206.46002	882.80414	-978.2849	-650.29706	657.2462	13384.42168879509
52	384.63672	186.4543	701.7079	193.14005	257.0729	24.654045	287.00592	199.26932	179.09091	139.7	103999	638.45154	207.91826	868.2342	-737.78595	-651.4531	690.57635	13744.813220024109
53	354.1048	220.10913	855.52344	171.95424	1043.8802	2.4519575	1047.7372	1038.0168	208.71428	1000.0	105999	639.7632	207.2174	865.1742	-811.24506	-652.6053	613.87415	14159.286219358444
54	1273.196	2.5022583	1275.6984	1270.6938	1039.8066	3.2980278	1045.3658	1034.5828	880.5	1000.0	107999	637.48047	205.60226	871.00946	-639.89777	-650.02875	629.4131	14546.457869529724
55	1031.8153	7.9653015	1039.7806	1023.85004	993.1951	6.252488	1001.9475	979.3441	1000.0	1000.0	109999	636.48395	198.54294	896.68054	-527.12885	-648.35706	552.1448	14914.748311042786
56	723.70807	411.0089	1134.6475	81.76303	368.20526	84.11101	509.11328	281.29147	556.0	158.9	111999	632.6484	197.24283	916.3451	-506.9381	-644.4583	598.4538	15238.042123556137
57	199.2302	161.69333	495.9141	24.985514	235.36948	37.609673	308.31934	197.9593	96.95	125.1	113999	640.74396	194.96777	950.5359	-513.4965	-654.14026	610.3665	15558.313074111938
58	327.73184	68.650116	476.66675	235.29309	358.34116	114.494484	593.77014	247.78015	147.0	163.2	115999	660.6199	204.35097	992.5784	-508.70355	-675.35785	649.29974	15880.721297502518
59	314.55826	105.8151	519.9594	106.48073	309.96472	12.325663	342.96548	295.31216	137.92857	137.4	117999	670.3391	214.47212	1018.55524	-463.7401	-683.23267	627.80286	16199.716507196426
