Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
45	60.444695	2.2564561	62.33166	57.041668	59.99654	2.1751509	61.550415	56.524986	12.6645565	12.7	89999	31.965298	16.285439	74.21819	-0.5227626	-31.616316	0.6077862	21635.334300994873
46	60.35705	2.2983727	62.350967	57.01391	60.047943	2.1704557	61.608402	56.70718	12.64557	12.7	91999	31.914837	16.261902	70.447586	0.6940847	-31.575886	0.6108075	22341.59818482399
47	60.198814	2.3273628	62.325096	56.97018	58.188393	2.1642253	61.61187	56.700844	12.610063	12.3	93999	31.82432	16.254667	74.94763	-3.4468355	-31.486109	0.6089693	23056.288375854492
48	60.370956	2.2918777	62.300396	56.998425	58.15811	2.1372921	61.434505	56.615807	12.64557	12.3	95999	31.79232	16.21552	73.410255	-1.4549359	-31.461378	0.6221461	23760.377592802048
49	60.341507	2.3044848	62.320667	57.05533	59.572838	2.3342426	61.633877	56.59506	12.63924	12.6	97999	31.776047	16.218384	71.05453	-1.6841009	-31.435503	0.599457	24468.334086418152
50	60.745487	2.1446865	62.33533	57.064304	58.164837	2.1250825	61.47373	56.610638	12.727848	12.3	99999	31.69581	16.185652	70.75875	-0.6190405	-31.36676	0.590659	25181.2488052845
51	60.579624	2.202869	62.316322	56.998512	58.13636	2.119531	61.40399	56.63634	12.694267	12.3	101999	31.749252	16.175444	72.227135	0.48842293	-31.420076	0.58939725	25897.225640773773
52	60.061436	2.3575847	62.27358	57.01699	59.13183	2.3543081	61.620914	56.63695	12.584906	12.5	103999	31.71314	16.174944	73.066444	-0.3904196	-31.382454	0.59382224	26623.45751476288
53	60.3326	2.305182	62.338226	56.97049	60.06736	2.1575696	61.60668	56.679047	12.63924	12.7	105999	31.658167	16.173786	70.806564	-0.5910653	-31.33708	0.5856681	27341.710124969482
54	59.961914	2.3662848	62.431107	57.04539	60.45611	1.8797572	61.61354	56.68773	12.5625	12.8	107999	31.665855	16.148462	69.16331	-2.6877787	-31.343027	0.5784411	28062.763756752014
55	59.975555	2.3738966	62.345684	57.006104	59.52426	2.3137076	61.496536	56.505775	12.559749	12.6	109999	31.56415	16.109667	70.33392	-0.80028355	-31.241547	0.5773872	28784.631833553314
56	60.537495	2.232671	62.311874	57.022404	60.03486	2.1521025	61.556973	56.665497	12.681529	12.7	111999	31.510666	16.056482	70.67026	-1.3267169	-31.184488	0.5633991	29514.58824658394
57	60.04652	2.3613822	62.30553	57.06061	59.045094	2.3382804	61.584866	56.537872	12.578616	12.5	113999	31.432116	16.023064	68.232285	-0.84327114	-31.116886	0.58153325	30240.995714187622
58	59.994434	2.3777757	62.355602	57.01078	59.054268	2.306202	61.40339	56.7251	12.56875	12.5	115999	31.441145	16.03178	68.75381	-1.6957195	-31.125275	0.56644166	30967.47188949585
59	60.203125	2.3213544	62.303513	57.05867	59.57395	2.373846	61.669548	56.569458	12.613924	12.6	117999	31.442825	16.038235	69.41177	-1.7587847	-31.134724	0.56978756	31694.041543245316
60	60.24278	2.317223	62.35722	57.07251	59.575676	2.278384	61.524055	56.60258	12.622642	12.6	119999	31.420303	16.055096	70.24709	0.18702304	-31.104399	0.571526	32423.66751933098
61	60.216248	2.319268	62.308346	57.03909	58.621193	2.3045056	61.60436	56.57254	12.613924	12.4	121999	31.355347	16.023727	68.732895	-0.38244987	-31.044579	0.5699684	33152.68758440018
62	60.436092	2.2495503	62.276436	57.022728	58.58811	2.3815277	61.622482	56.51643	12.6645565	12.4	123999	31.361168	16.051664	70.8594	-0.52203035	-31.05314	0.56262773	33887.84849381447
63	60.019886	2.3619084	62.405506	57.048527	58.67935	2.369329	61.620483	56.6301	12.572327	12.4	125999	31.383343	16.015726	69.36128	-0.926769	-31.076582	0.5698673	34612.22311210632
64	60.31542	2.3117154	62.314007	57.105152	58.666462	2.3404014	61.680523	56.612152	12.632912	12.4	127999	31.444498	15.993468	71.053154	0.29011118	-31.140676	0.5627333	35334.70067667961
65	60.740177	2.118009	62.368813	57.07278	58.64732	2.3305538	61.68487	56.588448	12.727848	12.4	129999	31.418072	16.000067	68.450554	-4.5886946	-31.110914	0.55958503	36060.21660709381
66	60.237225	2.3144875	62.359367	57.083473	58.655487	2.338321	61.622364	56.58988	12.620254	12.4	131999	31.366867	15.986272	67.89239	-2.2137742	-31.055151	0.5549548	36789.08637666702
67	60.544674	2.222165	62.278263	57.117744	60.10979	2.2133565	61.67335	56.665447	12.683544	12.7	133999	31.31628	15.982023	69.114365	-6.0010376	-31.014633	0.5587653	37535.21193552017
68	60.326183	2.3029218	62.37306	57.04764	60.528633	1.8532482	61.630245	56.735806	12.63924	12.8	135999	31.23638	15.962806	67.295044	-2.9532752	-30.92881	0.55041337	38277.513266325
69	60.15703	2.3510842	62.349762	57.00403	59.148193	2.4013963	61.652718	56.707687	12.603773	12.5	137999	31.28805	15.945104	67.78238	0.77644277	-30.983625	0.55354744	39023.40079975128
70	60.118267	2.3482168	62.38191	57.086197	58.12273	2.1497152	61.479275	56.613728	12.591195	12.3	139999	31.251787	15.957487	69.30067	-5.866088	-30.947504	0.56272167	39769.37352967262
71	60.117905	2.3498836	62.33106	56.966103	57.22532	1.3720711	61.335793	56.63755	12.594936	12.1	141999	31.225752	15.930446	70.95328	-1.0019681	-30.923903	0.5501243	40519.969680547714
72	60.16367	2.3529644	62.30943	57.080173	59.603218	2.3144715	61.603947	56.705643	12.603773	12.6	143999	31.264122	15.928467	69.4164	-2.719244	-30.969027	0.5453717	41269.717483997345
73	60.398945	2.2739468	62.370975	56.962227	57.72517	1.8641222	61.57473	56.64385	12.651898	12.2	145999	31.263636	15.914914	69.15553	1.1276428	-30.96724	0.54266006	42019.702523231506
74	60.40629	2.2768857	62.335144	57.060017	59.117634	2.3134768	61.590355	56.735638	12.651898	12.5	147999	31.24166	15.899484	69.260185	-3.827807	-30.944328	0.5397727	42768.0426261425
75	60.42325	2.2726848	62.340397	56.990143	58.16549	2.1214852	61.548058	56.665585	12.658228	12.3	149999	31.237022	15.917747	66.83049	-1.6741042	-30.94135	0.55193615	43515.927985429764
76	60.544292	2.2312763	62.28276	57.013718	59.113667	2.400966	61.56971	56.634903	12.683544	12.5	151999	31.103983	15.893064	71.69865	-3.6799555	-30.814804	0.5458304	44267.02503633499
77	60.337784	2.29774	62.419544	57.033863	58.636787	2.3147109	61.58237	56.604973	12.63924	12.4	153999	31.17722	15.913369	66.465576	-2.4407532	-30.886965	0.54177594	45017.86684060097
78	60.486576	2.2575498	62.311317	57.043804	59.554207	2.3661666	61.615562	56.509045	12.670886	12.6	155999	31.110542	15.880734	68.01143	-0.69442093	-30.814302	0.5435947	45768.12134838104
79	60.34594	2.2930965	62.28764	57.09231	59.148376	2.3716094	61.604305	56.710033	12.63924	12.5	157999	31.171467	15.887051	67.464096	-0.07442784	-30.877289	0.53174704	46517.63570642471
80	60.436237	2.262621	62.34101	56.985344	59.57655	2.3750832	61.625515	56.575466	12.658228	12.6	159999	31.170935	15.861117	68.13306	-3.360145	-30.878538	0.5386528	47181.809000492096
81	60.0923	2.3664985	62.32784	57.010315	59.522106	2.2675397	61.60648	56.637733	12.584906	12.6	161999	31.137543	15.881458	69.58852	-10.467985	-30.846813	0.52743787	47804.14300322533
82	60.127808	2.353326	62.345974	57.004723	58.604607	2.342125	61.58743	56.525097	12.597485	12.4	163999	31.042032	15.854737	67.435646	-3.2052476	-30.75226	0.53549045	48423.843777656555
83	60.183323	2.3536508	62.382053	57.019447	58.62682	2.2965324	61.63186	56.688885	12.6075945	12.4	165999	31.179842	15.86996	69.07064	-2.307928	-30.89126	0.531586	49042.31078481674
84	60.230167	2.331039	62.27786	56.947906	59.552288	2.3140233	61.633015	56.70432	12.616352	12.6	167999	31.18345	15.824639	68.63009	-2.1273642	-30.891191	0.53523237	49700.359333753586
