Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
49	156.95181	59.13966	234.07779	47.423805	77.52	90.43127	29.020233	115.31976	-0.59176046	100000	-0.023901569	1127.7185	-0.0015764683	-369.72235	0.9151262	2.7418137e-09	1328.888435602188
50	150.00722	68.42982	235.00769	29.198292	76.72	79.98455	25.465483	110.8779	-5.145514	102000	-0.05957033	1080.858	-0.001555033	-388.67188	0.91500825	6.7949295e-09	1354.6461420059204
51	173.86096	57.30274	266.90982	53.484997	88.59091	73.81506	28.378386	110.098305	0.47148836	104000	-0.054304447	747.6694	-0.0015714541	-271.74457	0.91486865	6.496906e-09	1379.962324142456
52	183.55618	46.61506	226.88196	100.74688	86.954544	81.44212	28.77811	112.578476	-6.208015	106000	-0.029634217	525.10675	-0.00029292703	-172.32272	0.9147221	-5.066395e-09	1405.8547060489655
53	187.61182	50.712894	248.46922	77.30433	90.809525	84.46007	32.51408	118.13362	1.6300417	108000	0.016048737	637.3829	-0.00036463514	-147.39017	0.91458	-1.9073487e-09	1432.6828517913818
54	179.26836	51.635197	224.95035	68.289345	84.82609	84.588844	30.753477	116.096596	4.1604323	110000	-0.042831935	636.4901	-0.00094513595	-126.93704	0.91446745	-6.3180923e-09	1459.495123386383
55	187.84439	51.326492	231.99771	64.796455	88.13636	85.29436	30.90148	116.11686	0.17570174	112000	-0.027922137	548.56445	-0.0006841235	-108.33609	0.91434187	-2.503395e-09	1485.6547441482544
56	188.6544	41.953506	235.28697	89.57836	90.72727	87.77735	31.327845	118.68287	1.632482	114000	-0.041629177	442.80756	-0.0007790178	-147.56158	0.9142177	1.4901161e-09	1512.3187093734741
57	178.44661	54.91537	237.38387	29.113287	86.82609	83.434044	32.880787	121.64247	1.5663966	116000	-0.06086156	656.16876	-0.0009809248	-150.49432	0.91408604	-3.2782554e-09	1538.7430562973022
58	205.2268	40.71934	254.93091	50.50607	95.85	82.29945	30.192982	117.22865	2.1281157	118000	0.00941119	389.02914	-0.00083264336	-221.51457	0.9139358	-3.5762786e-09	1565.3832638263702
